Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
5.5,50.0,28.0,2.5,12.0,0.0,0,0,1,15.0,15.0,12.0
5.8,53.0,30.5,2.8,10.0,0.3,1,0,1,12.0,20.0,10.0
6.2,56.5,32.0,1.5,9.5,0.5,1,0,1,10.0,22.0,9.5
6.5,60.2,33.5,1.8,8.0,0.2,0,0,1,15.0,18.0,8.0
6.3,64.0,28.0,-5.5,15.0,-0.2,0,1,1,18.0,12.0,15.0
6.0,67.0,25.0,-3.0,18.0,-0.3,0,1,1,20.0,10.0,18.0
5.8,69.5,28.0,3.0,14.0,0.0,0,0,1,15.0,15.0,14.0
5.5,72.5,32.0,4.0,10.0,0.1,0,0,1,16.0,16.0,10.0
5.8,76.0,30.0,-2.0,12.0,0.2,1,0,1,12.0,20.0,12.0
6.2,79.2,33.0,3.0,8.5,0.4,1,0,1,10.0,22.0,8.5
6.0,82.8,28.0,-5.0,16.0,0.1,0,0,1,14.0,18.0,16.0
5.8,85.5,30.0,2.0,12.0,0.0,0,0,1,15.0,15.0,12.0
6.0,88.5,34.0,4.0,9.0,0.2,0,1,1,18.0,10.0,9.0
5.7,92.0,29.0,-5.0,15.0,-0.1,0,0,1,16.0,16.0,15.0
5.5,95.0,32.0,3.0,11.0,0.0,0,0,1,15.0,15.0,11.0
5.8,98.5,35.0,3.0,8.0,0.2,1,0,1,12.0,20.0,8.0
6.2,102.5,30.0,-5.0,14.0,0.3,1,0,1,10.0,22.0,14.0
6.0,105.5,33.0,3.0,10.0,0.1,0,0,1,14.0,18.0,10.0
5.7,109.0,28.0,-5.0,16.0,-0.1,0,1,1,18.0,12.0,16.0
5.5,112.0,31.0,3.0,12.0,0.0,0,0,1,15.0,15.0,12.0
