Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
5.5,50.0,15.0,0.1,55.0,0.0,0,0,0,99.0,99.0,55.0
5.5,51.5,15.1,0.1,56.0,0.0,0,0,0,99.0,99.0,56.0
5.5,53.0,15.0,0.0,55.5,0.0,0,0,0,99.0,99.0,55.5
5.5,54.5,15.1,0.1,56.5,0.0,0,0,0,99.0,99.0,56.5
5.5,56.0,15.0,-0.1,55.0,0.0,0,0,0,99.0,99.0,55.0
5.5,57.5,15.0,0.0,55.5,0.0,0,0,0,99.0,99.0,55.5
5.5,59.0,15.1,0.1,56.0,0.0,0,0,0,99.0,99.0,56.0
5.5,60.5,15.0,0.0,55.0,0.0,0,0,0,99.0,99.0,55.0
5.5,62.0,15.0,0.0,55.5,0.0,0,0,0,99.0,99.0,55.5
5.5,63.5,15.0,0.0,56.0,0.0,0,0,0,99.0,99.0,56.0
5.5,65.0,15.1,0.1,55.5,0.0,0,0,0,99.0,99.0,55.5
5.5,66.5,15.0,0.0,55.0,0.0,0,0,0,99.0,99.0,55.0
5.5,68.0,15.0,0.0,55.5,0.0,0,0,0,99.0,99.0,55.5
5.5,69.5,15.0,0.0,56.0,0.0,0,0,0,99.0,99.0,56.0
5.5,71.0,15.0,0.0,55.0,0.0,0,0,0,99.0,99.0,55.0
5.5,72.5,15.0,0.0,55.5,0.0,0,0,0,99.0,99.0,55.5
5.5,74.0,15.1,0.1,56.0,0.0,0,0,0,99.0,99.0,56.0
5.5,75.5,15.0,0.0,55.0,0.0,0,0,0,99.0,99.0,55.0
5.5,77.0,15.0,0.0,55.5,0.0,0,0,0,99.0,99.0,55.5
5.5,78.5,15.0,0.0,56.0,0.0,0,0,0,99.0,99.0,56.0
