Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
5.5,50.0,22.0,0.5,30.0,0.0,0,0,1,50.0,50.0,30.0
5.5,52.2,22.5,0.3,31.0,0.0,0,0,1,50.0,50.0,31.0
5.5,54.5,22.8,0.4,29.5,0.0,0,0,1,50.0,50.0,29.5
5.5,56.8,23.0,0.2,30.5,0.0,0,0,1,50.0,50.0,30.5
5.5,59.2,23.2,0.3,28.0,-0.1,0,0,1,50.0,50.0,28.0
5.5,61.5,23.5,0.2,29.0,0.0,0,0,1,50.0,50.0,29.0
5.5,63.9,23.6,0.1,30.0,0.0,0,0,1,50.0,50.0,30.0
5.5,66.3,23.4,-0.2,31.0,0.0,0,0,1,50.0,50.0,31.0
5.5,68.6,23.5,0.1,30.5,0.0,0,0,1,50.0,50.0,30.5
5.5,71.0,23.3,-0.2,29.5,0.0,0,0,1,50.0,50.0,29.5
5.5,73.3,23.5,0.2,30.0,0.0,0,0,1,50.0,50.0,30.0
5.5,75.7,23.4,-0.1,31.0,0.0,0,0,1,50.0,50.0,31.0
5.5,78.0,23.6,0.2,29.0,0.0,0,0,1,50.0,50.0,29.0
5.5,80.4,23.5,-0.1,30.0,0.0,0,0,1,50.0,50.0,30.0
5.5,82.8,23.4,-0.1,30.5,0.0,0,0,1,50.0,50.0,30.5
5.5,85.2,23.5,0.1,29.5,0.0,0,0,1,50.0,50.0,29.5
5.5,87.5,23.6,0.1,30.0,0.0,0,0,1,50.0,50.0,30.0
5.5,89.9,23.4,-0.2,31.0,0.0,0,0,1,50.0,50.0,31.0
5.5,92.2,23.5,0.1,30.0,0.0,0,0,1,50.0,50.0,30.0
5.5,94.6,23.5,0.0,30.5,0.0,0,0,1,50.0,50.0,30.5
